都道府県コード又は市町村コード,No,都道府県名,市区町村名,事業所名,事業所名カナ,サービスの種類,住所,方書（ビル名等）,緯度,経度,電話番号,FAX番号,法人番号,法人の名称,事業所番号,利用可能曜日,利用可能曜日特記事項,定員,URL,高齢者の方と障害者の方が同時一体的に利用できるサービス,介護保険の通常の指定基準を満たしている,障害福祉の通常の指定基準を満たしている,備考
011029,0170208169,北海道,札幌市北区,サービス付き高齢者向け住宅ウィステリアＮ17,サービスツキコウレイシャムケジュウタクウィステリアエヌジュウナナ,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,北海道札幌市北区北17条西3丁目2番1号,,43.081348899999990,141.347961800000000,011-727-1722,011-727-1723,6430001025872,株式会社メディカルシステムネットワーク,0170208169,,,0,http://www.msnw-wis.jp/n17/,,,,
011037,0170201487,北海道,札幌市東区,株式会社ノース・フィール　特定施設入居者生活介護ネオ,カブシキガイシャノース・フィール　トクテイシセツニュウキョシャセイカツカイゴネオ,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,札幌市東区北37条東28丁目6番10号,,43.104080800000000,141.395189599999980,011-789-7300,011-789-7400,7430001028833,株式会社ノース・フィール,0170201487,,,75,https://north-feel.jp,,,,
012033,0172001448,北海道,小樽市,ヴェラス・クオーレ小樽,ウ゛ェラスクオーレオタル,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,北海道小樽市花園１丁目１番９号KGビル,KGビル,43.193708700000000,140.999736399999960,0134-24-8080,0134-24-8058,6430001013893,株式会社光ハイツヴェラス,0172001448,,,69,http://www.varus.co.jp/,,,,
012033,0172002479,北海道,小樽市,サービス付き高齢者向け住宅　ウィステリア小樽稲穂,サービスツキコウレイシャムケジュウタク　ウィステリアオタルイナホ,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,北海道小樽市稲穂1丁目4番2号,,43.195097900000000,140.998312500000000,0134-34-1722,0134-34-1723,6430001025872,株式会社メディカルシステムネットワーク,0172002479,,,0,http://www.msnw-wis.jp,,,,
012033,0172003139,北海道,小樽市,特定施設入居者生活介護　マイラシーク手宮,トクテイシセツニュウキョシャセイカツカイゴ　マイラシークテミヤ,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,北海道小樽市手宮2丁目1-1サービス付き高齢者向け住宅　マイラシーク手宮,サービス付き高齢者向け住宅　マイラシーク手宮,43.209708700000010,140.997975700000000,0134-61-1550,0134-61-1565,4430001094060,マイラシークライフサポート株式会社,0172003139,,,,https://www.mylachic.chuo-bus.co.jp/temiya/,,,,
012033,0172003121,北海道,小樽市,特定施設入居者生活介護マイラシーク塩谷,トクテイシセツニュウキョシャセイカツカイゴマイラシークシオヤ,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,北海道小樽市塩谷2丁目2番21号,,43.216006200000000,140.942947400000000,0134-64-1185,0134-64-1191,4430001094060,マイラシークライフサポート株式会社,0172003121,,,0,https://www.mylachic.chuo-bus.co.jp/shioya/,,,,
012041,0172907701,北海道,旭川市,ブルーテラス大雪,ブルーテラスタイセツ,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,北海道旭川市大雪通7丁目506番の16,,43.783117500000000,142.389781400000000,0166-76-4738,0166-76-4739,5430001078483,ブルー・ケア株式会社,0172907701,,,80,https://taisetsu.blue-care.net/,,,,
012041,0172904757,北海道,旭川市,ふれあいの里　華音,フレアイノサト　カノン,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,旭川市4条通17丁目1481－1,,43.764508700000000,142.374732000000000,0166-23-3040,0166-23-7077,1430001061278,日総ふれあいケアサービス株式会社,0172904757,,,53,http://nisso-fcs.jp/,,,,
012041,0172908071,北海道,旭川市,ブルーテラス神楽,ブルーテラスカグラ,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,北海道旭川市神楽2条9丁目2番27号ブルーテラス神楽,ブルーテラス神楽,43.757847800000000,142.356126000000000,0166-76-9180,0166-76-9181,5430001078483,ブルー・ケア株式会社,0172908071,,,,https://kagura.blue-care.net,,,,
012041,0172908709,北海道,旭川市,介護付有料老人ホームイリーゼ旭川9条通,カイゴツキユウリョウロウジン,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,北海道旭川市9条通8丁目2486番地の20イリーゼ旭川9条通,イリーゼ旭川9条通,43.774201600000000,142.365257800000000,0166-74-8236,0166-74-8291,5013301023242,ＨＩＴＯＷＡケアサービス株式会社,0172908709,,,,https://www.irs.jp/area/hokkaidou/asahikawashi/asahikawakujodori_home.html,,,,
012050,0173502261,北海道,室蘭市,介護付有料老人ホーム　さわやか室蘭弐番館,カイゴツキユウリョウロウジンホーム　サワヤカムロランニバンカン,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,北海道室蘭市天神町27番12号介護付有料老人ホーム　さわやか室蘭弐番館,介護付有料老人ホーム　さわやか室蘭弐番館,42.372216200000000,141.025138700000000,0143-35-9006,0143-35-9007,1290801006728,株式会社さわやか倶楽部,0173502261,,,0,http://www.sawayakaclub.jp/murorannibankan/,,,,
